id,y,z,x,location
1,176.788299775,3182.208,3238.136762615,barrel
2,247.385810149,3111.524,3233.509557319,barrel
3,317.865578277,3182.208,3227.3433766,barrel
4,388.194059605,3111.524,3219.641155226,barrel
5,458.337781584,3182.208,3210.406559037,barrel
6,528.263359604,3111.524,3199.643983202,barrel
7,597.937512875,3182.208,3187.358550122,barrel
8,667.327080273,3111.524,3173.556106999,barrel
9,736.399036124,3182.208,3158.243223049,barrel
10,805.120505917,3111.524,3141.427186374,barrel
11,873.458781955,3182.208,3123.116000498,barrel
12,941.381338918,3111.524,3103.318380552,barrel
13,1008.85584935,3182.208,3082.043749133,barrel
14,1075.850199036,3111.524,3059.302231812,barrel
15,1142.332502295,3182.208,3035.104652321,barrel
16,1208.271117152,3111.524,3009.462527395,barrel
17,1273.634660397,3182.208,2982.388061298,barrel
18,1338.392022524,3111.524,2953.89414001,barrel
19,1402.512382535,3182.208,2923.994325093,barrel
20,1465.965222611,3111.524,2892.702847241,barrel
21,1528.720342638,3182.208,2860.034599501,barrel
22,1590.747874577,3111.524,2826.005130191,barrel
23,1652.018296682,3182.208,2790.630635495,barrel
24,1712.502447551,3111.524,2753.927951757,barrel
25,1772.171540004,3182.208,2715.914547466,barrel
26,1830.997174785,3111.524,2676.608514944,barrel
27,1888.951354076,3182.208,2636.028561733,barrel
28,1946.006494829,3111.524,2594.194001694,barrel
29,2002.135441885,3182.208,2551.12474581,barrel
30,2057.311480906,3111.524,2506.841292717,barrel
31,2111.508351086,3182.208,2461.364718938,barrel
32,2164.70025765,3111.524,2414.71666886,barrel
33,2216.86188413,3182.208,2366.919344428,barrel
34,2267.968404419,3111.524,2317.99549458,barrel
35,2317.99549458,3182.208,2267.968404419,barrel
36,2366.919344428,3111.524,2216.86188413,barrel
37,2414.71666886,3182.208,2164.70025765,barrel
38,2461.364718938,3111.524,2111.508351086,barrel
39,2506.841292717,3182.208,2057.311480906,barrel
40,2551.12474581,3111.524,2002.135441885,barrel
41,2594.194001694,3182.208,1946.006494829,barrel
42,2636.028561733,3111.524,1888.951354076,barrel
43,2676.608514944,3182.208,1830.997174785,barrel
44,2715.914547466,3111.524,1772.171540004,barrel
45,2753.927951757,3182.208,1712.502447551,barrel
46,2790.630635495,3111.524,1652.018296682,barrel
47,2826.005130191,3182.208,1590.747874577,barrel
48,2860.034599501,3111.524,1528.720342638,barrel
49,176.788299775,3040.84,3238.136762615,barrel
50,247.385810149,2970.156,3233.509557319,barrel
51,317.865578277,3040.84,3227.3433766,barrel
52,388.194059605,2970.156,3219.641155226,barrel
53,458.337781584,3040.84,3210.406559037,barrel
54,528.263359604,2970.156,3199.643983202,barrel
55,597.937512875,3040.84,3187.358550122,barrel
56,667.327080273,2970.156,3173.556106999,barrel
57,736.399036124,3040.84,3158.243223049,barrel
58,805.120505917,2970.156,3141.427186374,barrel
59,873.458781955,3040.84,3123.116000498,barrel
60,941.381338918,2970.156,3103.318380552,barrel
61,1008.85584935,3040.84,3082.043749133,barrel
62,1075.850199036,2970.156,3059.302231812,barrel
63,1142.332502295,3040.84,3035.104652321,barrel
64,1208.271117152,2970.156,3009.462527395,barrel
65,1273.634660397,3040.84,2982.388061298,barrel
66,1338.392022524,2970.156,2953.89414001,barrel
67,1402.512382535,3040.84,2923.994325093,barrel
68,1465.965222611,2970.156,2892.702847241,barrel
